epoch	 test_loss	 test_acc	 train_loss	 train_acc 	 time_since_begin(without testing)
5	 0.05472816276550293	 98.11	 0.059505230871836345	 98.14166666666667	32.73151659965515
10	 0.04188691682815552	 98.73	 0.036196892690658566	 98.83	65.14630842208862
15	 0.03940200791358948	 98.8	 0.02287798269589742	 99.275	97.65225601196289
20	 0.03700074918270111	 98.83	 0.016088002991676332	 99.52166666666666	129.94995522499084
25	 0.04169463152885437	 98.79	 0.014086455591519673	 99.57	162.20603108406067
30	 0.037334962916374205	 98.92	 0.007875069280465444	 99.76833333333333	194.5173261165619
35	 0.03878679656982422	 99.0	 0.0063380176226298015	 99.82666666666667	226.98354506492615
40	 0.040439559888839724	 99.04	 0.003413103840748469	 99.93333333333334	259.15094900131226
45	 0.04431013450622558	 98.96	 0.005292317712306976	 99.82333333333334	291.4519338607788
50	 0.0415428572177887	 99.07	 0.0015645915403962136	 99.975	323.8348083496094
55	 0.04411162176132202	 99.07	 0.0010274144786099593	 99.98166666666667	356.61371636390686
60	 0.05017828311920166	 98.97	 0.002044104488690694	 99.94666666666667	389.0487570762634
65	 0.047486568260192874	 99.09	 0.0006660937565068404	 99.995	421.9132561683655
70	 0.049414320087432864	 99.05	 0.0003660526849329472	 99.99666666666667	454.6597681045532
75	 0.049856024146080015	 99.07	 0.00032993103228509424	 99.99833333333333	486.9377181529999
80	 0.052259733390808104	 99.06	 0.00024596749742825824	 99.99833333333333	519.1055245399475
85	 0.05203200480937958	 99.09	 0.00024350981215635935	 99.99833333333333	552.2457871437073
90	 0.053038198804855344	 99.08	 0.0001891388099640608	 100.0	584.8177719116211
95	 0.053872213745117185	 99.09	 0.0001543969073643287	 100.0	617.3855319023132
100	 0.05425386600494385	 99.02	 0.00016254908324529727	 100.0	649.7660112380981
105	 0.055918297386169435	 99.05	 0.00013919834736734628	 100.0	682.1159811019897
110	 0.05572417240142822	 99.04	 0.00011791702304035425	 100.0	714.9172222614288
115	 0.056921919846534726	 99.05	 0.0001128280866270264	 100.0	747.5489163398743
120	 0.057392812490463255	 99.06	 0.00010078340265899897	 100.0	781.3874223232269
125	 0.05748259057998657	 99.05	 9.063457151254019e-05	 100.0	813.9076838493347
130	 0.05845321555137634	 99.03	 8.28523280719916e-05	 100.0	846.3794741630554
135	 0.05896527943611145	 99.04	 8.13548104216655e-05	 100.0	878.917929649353
140	 0.05935010051727295	 99.04	 7.270447717358668e-05	 100.0	911.1005570888519
145	 0.05994441313743591	 99.03	 6.959830389047662e-05	 100.0	943.3863806724548
150	 0.06038092713356018	 99.07	 6.845278482263287e-05	 100.0	976.0656025409698
155	 0.06096496801376343	 99.03	 6.634567218522231e-05	 100.0	1008.4339435100555
160	 0.06103359560966492	 99.06	 5.844019846990704e-05	 100.0	1041.3622138500214
165	 0.06180789361000061	 99.05	 5.56008747468392e-05	 100.0	1074.0054733753204
170	 0.06130763926506042	 99.05	 5.268805228794614e-05	 100.0	1106.5968277454376
175	 0.06216921648979187	 99.04	 5.0306924091031156e-05	 100.0	1138.7867486476898
180	 0.06287141180038452	 99.04	 4.8419857025146487e-05	 100.0	1171.1938090324402
185	 0.06343977925777436	 99.04	 4.560599798957507e-05	 100.0	1203.6767201423645
190	 0.06327679362297058	 99.05	 4.429799346253276e-05	 100.0	1235.9554376602173
195	 0.06375824265480041	 99.05	 4.303375954429309e-05	 100.0	1268.2895209789276
200	 0.06392134490013122	 99.04	 4.085645340383053e-05	 100.0	1300.6433198451996
205	 0.06420072665214538	 99.05	 3.892498168473443e-05	 100.0	1333.241350889206
210	 0.06500520634651184	 99.05	 3.8707391389956076e-05	 100.0	1365.6187920570374
215	 0.06524951171875	 99.03	 3.616382603844007e-05	 100.0	1398.1569452285767
220	 0.06547169551849365	 99.02	 3.4943693907310566e-05	 100.0	1432.2373971939087
225	 0.06556575150489807	 99.04	 3.38580752722919e-05	 100.0	1468.9325008392334
230	 0.06598898701667785	 99.05	 3.505084278682868e-05	 100.0	1505.231374502182
235	 0.06596458506584167	 99.04	 3.138258702432116e-05	 100.0	1541.6849405765533
240	 0.06630456175804138	 99.06	 3.027719090071817e-05	 100.0	1577.9757227897644
245	 0.06690987844467162	 99.06	 3.250703364610672e-05	 100.0	1614.3844816684723
250	 0.06677114410400391	 99.04	 2.8821420312548676e-05	 100.0	1650.6691884994507
255	 0.067110293841362	 99.02	 2.9144960967823864e-05	 100.0	1686.838624715805
260	 0.06749800271987914	 99.06	 2.719294149428606e-05	 100.0	1723.452096939087
265	 0.06753172101974488	 99.05	 2.6177598054831227e-05	 100.0	1759.772624015808
270	 0.06758831243515015	 99.06	 2.5568558756882946e-05	 100.0	1795.6975877285004
275	 0.06781244812011719	 99.04	 2.5708358362317084e-05	 100.0	1832.103232383728
280	 0.06795152354240418	 99.05	 2.4230731495966515e-05	 100.0	1868.6801800727844
285	 0.06813164029121399	 99.05	 2.3462529076884192e-05	 100.0	1905.5012726783752
290	 0.0685658076286316	 99.04	 2.3097966983914375e-05	 100.0	1941.7251234054565
295	 0.06914879751205444	 99.03	 2.2631182335317134e-05	 100.0	1978.6301672458649
300	 0.06890082292556762	 99.04	 2.1702468131358425e-05	 100.0	2015.0981135368347
process 0: Training time 2015.099532365799 seconds (with 5 workers)
process 0: total time 2834.844360589981 seconds (with 5 workers)

