epoch	 test_loss	 test_acc	 train_loss	 train_acc 	 time_since_begin(without testing)
5	 0.05513662557601929	 98.28	 0.058448464012146	 98.17166666666667	48.052494049072266
10	 0.04083665132522583	 98.71	 0.032872566493352254	 98.925	96.00406241416931
15	 0.03488344864845276	 98.88	 0.02114677577018738	 99.35833333333333	143.90517926216125
20	 0.03584335241317749	 98.96	 0.01519987420241038	 99.54166666666667	191.62470293045044
25	 0.03850402904748917	 98.9	 0.010026395209630331	 99.71166666666667	239.6035978794098
30	 0.03852279498577118	 98.82	 0.008695182959238688	 99.76333333333334	287.46609377861023
35	 0.03824180493354797	 99.08	 0.004656221288442612	 99.89166666666667	335.39264822006226
40	 0.044036728608608244	 98.89	 0.004587392461299896	 99.87666666666667	383.3340082168579
45	 0.04006508982181549	 99.05	 0.0023201970914999643	 99.955	431.29577016830444
50	 0.04421979744434357	 99.02	 0.002023464013636112	 99.96166666666667	479.0210247039795
55	 0.045415012347698215	 98.95	 0.001141905882457892	 99.97666666666667	526.5538651943207
60	 0.046217635202407834	 99.04	 0.0005375954491396745	 99.995	573.988648891449
65	 0.04784592244625092	 99.04	 0.0004624491784721613	 99.99333333333334	621.2315113544464
70	 0.04821154472827911	 99.01	 0.0003716362749536832	 99.99333333333334	668.9728307723999
75	 0.050836341485381124	 99.05	 0.00026335158261160056	 100.0	716.5548892021179
80	 0.05201915360987187	 99.06	 0.00022620170786976813	 100.0	764.3172419071198
85	 0.053067530018091204	 99.01	 0.00018055880355338257	 100.0	811.6649854183197
90	 0.05345639644861221	 99.04	 0.00015959686109175286	 100.0	859.5167291164398
95	 0.05474036219716072	 99.04	 0.00015935850255191327	 100.0	907.032294511795
100	 0.0545592938631773	 99.06	 0.00013551704548299311	 100.0	955.0456266403198
105	 0.055596007359027866	 99.01	 0.00011730075484762588	 100.0	1002.9223144054413
110	 0.05628486302793026	 99.04	 0.00010719898547977209	 100.0	1050.966436624527
115	 0.057518768265843394	 99.02	 0.00010670102145522833	 100.0	1098.506549835205
120	 0.057736658242344856	 99.03	 8.996538252880176e-05	 100.0	1146.3116343021393
125	 0.05814820492565632	 99.02	 8.375591505318881e-05	 100.0	1193.8221220970154
130	 0.05888823038637638	 99.04	 8.201646034916242e-05	 100.0	1241.5363438129425
135	 0.05959117581695318	 99.04	 7.302339201172193e-05	 100.0	1289.707335948944
140	 0.05990814334005117	 99.03	 7.017164553205173e-05	 100.0	1337.6179332733154
145	 0.059933341738581655	 99.02	 6.557629474749168e-05	 100.0	1385.6313350200653
150	 0.060684480832517144	 99.02	 6.133558849493663e-05	 100.0	1433.3196835517883
155	 0.06119359889775514	 99.04	 5.828711933766802e-05	 100.0	1480.8746087551117
160	 0.06140722497776151	 99.04	 5.614136119062702e-05	 100.0	1528.7073073387146
165	 0.061926427952945236	 99.02	 5.234341099858284e-05	 100.0	1576.533476114273
170	 0.0621522766828537	 99.05	 5.177386455858747e-05	 100.0	1624.7187061309814
175	 0.06268342720419169	 99.02	 4.705792618915438e-05	 100.0	1672.1929624080658
180	 0.06318335547298193	 99.01	 4.5894472549359e-05	 100.0	1720.0361185073853
185	 0.06351617429032921	 99.04	 4.407142214477062e-05	 100.0	1767.564389705658
190	 0.063759812104702	 99.03	 4.177731250723203e-05	 100.0	1815.4764440059662
195	 0.06358811396211386	 99.03	 4.053065991029143e-05	 100.0	1863.1153659820557
200	 0.06393746517747641	 99.04	 3.9641734026372435e-05	 100.0	1911.2408699989319
205	 0.06453361772224307	 99.03	 3.698450584585468e-05	 100.0	1959.0574851036072
210	 0.06479861015677452	 99.01	 3.7041346511493124e-05	 100.0	2007.0723187923431
215	 0.06496178579479456	 99.04	 3.464338706495861e-05	 100.0	2054.9562652111053
220	 0.06523624627068639	 99.05	 3.348243525251746e-05	 100.0	2103.0726733207703
225	 0.06559469893351197	 99.02	 3.24797281374534e-05	 100.0	2150.8036029338837
230	 0.0659095361456275	 99.05	 3.1961110265304646e-05	 100.0	2199.196789264679
235	 0.06628623823747039	 99.03	 3.093473785556853e-05	 100.0	2247.2576203346252
240	 0.06628420064151287	 99.05	 2.987421271391213e-05	 100.0	2295.189845561981
245	 0.06649412610828877	 99.05	 2.8424340098475418e-05	 100.0	2343.061518907547
250	 0.0667858950264752	 99.04	 2.761389554167787e-05	 100.0	2390.906375646591
255	 0.06697780074924231	 99.03	 2.6976757527639467e-05	 100.0	2438.620565891266
260	 0.06704316658079625	 99.04	 2.6615924714133142e-05	 100.0	2486.472477197647
265	 0.06741210018470883	 99.03	 2.5466862072547275e-05	 100.0	2534.533388376236
270	 0.06783037052378059	 99.02	 2.4716092847908536e-05	 100.0	2582.5058076381683
275	 0.06788118881732226	 99.04	 2.38747654017061e-05	 100.0	2630.5261330604553
280	 0.06812086295038462	 99.04	 2.3352161686246595e-05	 100.0	2677.870828151703
285	 0.06839152714163065	 99.03	 2.262915613440176e-05	 100.0	2725.9309039115906
290	 0.06877893038019538	 99.03	 2.206257072587808e-05	 100.0	2773.7048678398132
295	 0.06887735686600208	 99.04	 2.1635810006409882e-05	 100.0	2821.546557664871
300	 0.06894342143684626	 99.01	 2.116277099897464e-05	 100.0	2869.467511177063
process 0: Training time 2869.4682047367096 seconds (with 2 workers)
process 0: total time 3642.748002052307 seconds (with 2 workers)

