epoch	 test_loss	 test_acc	 train_loss	 train_acc 	 time_since_begin(without testing)
5	 0.0544330828666687	 98.07	 0.052764194520314535	 98.39	34.2283992767334
10	 0.05010166368484497	 98.31	 0.040519239314397174	 98.71	68.37926816940308
15	 0.04142037200927735	 98.59	 0.025477862866719565	 99.19	102.44350147247314
20	 0.036208344984054563	 98.87	 0.015354293366273244	 99.51333333333334	136.4357271194458
25	 0.03792701497077942	 98.93	 0.012749276320139566	 99.61166666666666	170.49764609336853
30	 0.04033464626073837	 98.83	 0.008101088790098826	 99.76	204.51932048797607
35	 0.03679488980770111	 99.05	 0.0043916660984357194	 99.89166666666667	238.7446484565735
40	 0.040261424827575686	 98.97	 0.005361035509904226	 99.835	272.9049246311188
45	 0.03740767821073532	 99.05	 0.001814609173933665	 99.95833333333333	306.8764605522156
50	 0.04387153989076614	 98.94	 0.0019420351142684618	 99.95666666666666	340.952481508255
55	 0.04061620546579361	 99.11	 0.0009090122361977895	 99.98666666666666	375.0391757488251
60	 0.0446698525428772	 99.11	 0.0006046878136694431	 99.99666666666667	409.1225872039795
65	 0.045997250705957414	 99.07	 0.0006897637024521828	 99.98666666666666	443.416216135025
70	 0.0455361801147461	 99.07	 0.00038332868429521717	 99.99333333333334	477.42096424102783
75	 0.04691780100464821	 99.07	 0.0002775806931157907	 99.99833333333333	511.5075924396515
80	 0.04842019338011742	 99.07	 0.000212959128494064	 100.0	545.6445999145508
85	 0.04908445591032505	 99.08	 0.00018180532231926917	 100.0	579.8375217914581
90	 0.04926778320670128	 99.05	 0.00016467987267921368	 100.0	613.9576773643494
95	 0.051172917011380194	 99.04	 0.0001514987673610449	 100.0	648.0707139968872
100	 0.050694034260511396	 99.06	 0.0001298545234526197	 100.0	682.1749095916748
105	 0.0514011637493968	 99.04	 0.00011831203512847424	 100.0	716.2936160564423
110	 0.052588693380355836	 99.06	 0.00010554405773679415	 100.0	750.463000535965
115	 0.05325170334577561	 99.07	 9.669923990344008e-05	 100.0	784.6304614543915
120	 0.05320745083391666	 99.06	 8.957298429061969e-05	 100.0	818.7270722389221
125	 0.05361294771879911	 99.02	 8.261314885069927e-05	 100.0	852.7993440628052
130	 0.054407128150761125	 99.05	 7.772296955808997e-05	 100.0	886.7845602035522
135	 0.054825308206677435	 99.05	 7.27218942095836e-05	 100.0	920.9022526741028
140	 0.05554030019938946	 99.04	 7.10310314161082e-05	 100.0	955.0258920192719
145	 0.05528654075115919	 99.05	 6.557528621827562e-05	 100.0	989.0276122093201
150	 0.05625875383168459	 99.02	 6.055970309923092e-05	 100.0	1023.2400386333466
155	 0.056414846359193326	 99.03	 5.741564460719625e-05	 100.0	1057.5228595733643
160	 0.05655117030888796	 99.04	 5.656790000696977e-05	 100.0	1091.7483887672424
165	 0.057022289143502713	 99.05	 5.1982651961346466e-05	 100.0	1125.781124830246
170	 0.05753565566837788	 99.04	 5.154264864201347e-05	 100.0	1160.3282821178436
175	 0.05777221625745296	 99.03	 4.6743276808410885e-05	 100.0	1194.5463380813599
180	 0.05824537067115307	 99.02	 4.535491682278613e-05	 100.0	1228.7495472431183
185	 0.05842549920082092	 99.02	 4.312395107311507e-05	 100.0	1262.9209973812103
190	 0.05878367749154568	 99.03	 4.1534257338692747e-05	 100.0	1297.0557146072388
195	 0.05877985917776823	 99.02	 4.006578628905117e-05	 100.0	1331.3465950489044
200	 0.05899577390104532	 99.03	 3.8104991770039005e-05	 100.0	1365.5581963062286
205	 0.059396592755615714	 99.03	 3.675149863896271e-05	 100.0	1399.8079762458801
210	 0.05973292625695467	 99.03	 3.588104853406548e-05	 100.0	1434.0321073532104
215	 0.05986083310842514	 99.05	 3.437180803157389e-05	 100.0	1468.204844236374
220	 0.060197624775767324	 99.03	 3.316234165492157e-05	 100.0	1502.2567462921143
225	 0.06025382472425699	 99.04	 3.21233994482706e-05	 100.0	1536.4618842601776
230	 0.060954875296354294	 99.03	 3.163021189781527e-05	 100.0	1570.6735112667084
235	 0.06117001960724592	 99.04	 3.055749676811198e-05	 100.0	1604.8052515983582
240	 0.06121958726793528	 99.04	 2.9121781963234146e-05	 100.0	1638.9733128547668
245	 0.061262416706979274	 99.03	 2.8302202171956498e-05	 100.0	1673.1724078655243
250	 0.06151705182492733	 99.02	 2.756941799695293e-05	 100.0	1707.324982881546
255	 0.06173030730634928	 99.02	 2.6610502988720933e-05	 100.0	1741.4516806602478
260	 0.06175236031711102	 99.02	 2.6042214501649142e-05	 100.0	1775.6368227005005
265	 0.06205238026082516	 99.03	 2.5170335996275146e-05	 100.0	1809.8716990947723
270	 0.06239150922000408	 99.01	 2.4584631559749444e-05	 100.0	1844.0813977718353
275	 0.06254839754253626	 99.03	 2.370166922919452e-05	 100.0	1878.2975690364838
280	 0.06268556426763534	 99.02	 2.30784491635859e-05	 100.0	1912.401584148407
285	 0.06291727075725793	 99.02	 2.2514655084038774e-05	 100.0	1946.5553085803986
290	 0.06335403450876474	 99.01	 2.1918491243074338e-05	 100.0	1980.7990486621857
295	 0.06341147612780333	 99.03	 2.148537882603705e-05	 100.0	2015.023235321045
300	 0.06338495954573155	 99.0	 2.106316035302977e-05	 100.0	2049.330497741699
process 0: Training time 2049.3311409950256 seconds (with 2 workers)
process 0: total time 2792.25506734848 seconds (with 2 workers)

