epoch	 test_loss	 test_acc	 train_loss	 train_acc 	 time_since_begin(without testing)
5	 0.0997997241973877	 96.95	 0.10972324307759602	 96.67166666666667	5.583195447921753
10	 0.06334521627426147	 97.97	 0.06065907939275106	 98.14	11.050965547561646
15	 0.04525898227691651	 98.5	 0.03190802954037984	 99.04833333333333	16.98379635810852
20	 0.04190258598327637	 98.77	 0.02288261392911275	 99.30333333333333	22.443339347839355
25	 0.04734808015823364	 98.62	 0.018396799166997272	 99.44	27.886418342590332
30	 0.052955504369735715	 98.64	 0.01567323426405589	 99.5	33.36916756629944
35	 0.045079211843013764	 98.84	 0.008534791127840677	 99.78	38.870333194732666
40	 0.044955987548828125	 98.85	 0.0066939009388287864	 99.84333333333333	45.250946283340454
45	 0.050871449041366576	 98.85	 0.00545003253420194	 99.86166666666666	50.707796812057495
50	 0.08932679977416992	 97.26	 0.08250007419586182	 97.415	56.187716484069824
55	 0.055519954681396484	 98.17	 0.038825607776641846	 98.74833333333333	61.69711208343506
60	 0.04414382553100586	 98.59	 0.023930317083994547	 99.24	67.21484017372131
65	 0.04813881721496582	 98.56	 0.016026877562204996	 99.505	72.70045924186707
70	 0.049537219429016115	 98.68	 0.011331583972771963	 99.64333333333333	78.15745544433594
75	 0.060513577556610104	 98.15	 0.037070390939712525	 98.84666666666666	83.62056589126587
80	 0.057090500736236574	 98.37	 0.01830012497107188	 99.45333333333333	89.07553720474243
85	 0.052679966115951535	 98.55	 0.010526249965031941	 99.68833333333333	94.5085678100586
90	 0.05628653154373169	 98.65	 0.006231630486249923	 99.845	99.97108697891235
95	 0.060134352111816405	 98.66	 0.0042214450697104135	 99.89666666666666	105.41984510421753
100	 0.06503680248260497	 98.67	 0.002509808174769084	 99.96333333333334	110.85818362236023
105	 0.06862230434417725	 98.66	 0.0017547218511501947	 99.96666666666667	116.30049753189087
110	 0.07201779146194458	 98.71	 0.001289425533513228	 99.98166666666667	121.81552410125732
115	 0.07602304487228394	 98.69	 0.0007877561633785566	 99.99833333333333	127.27165484428406
120	 0.07914406194686889	 98.68	 0.0006079376404484113	 99.99833333333333	132.7286970615387
125	 0.08148509321212768	 98.71	 0.00046957692528764406	 99.99833333333333	138.1912624835968
130	 0.08358146352767944	 98.68	 0.000395265998194615	 100.0	143.64109897613525
135	 0.08549779758453369	 98.7	 0.0003288398586213589	 100.0	149.11635494232178
140	 0.08679470481872559	 98.68	 0.00028533342853188513	 100.0	154.57746982574463
145	 0.08873430519104004	 98.69	 0.00026483449637889863	 100.0	160.0555386543274
150	 0.08970241365432739	 98.69	 0.0002167489970723788	 100.0	165.52249312400818
155	 0.0908520712852478	 98.65	 0.00019734646230936052	 100.0	170.94552373886108
160	 0.09218520650863647	 98.68	 0.0001765701627979676	 100.0	176.41484260559082
165	 0.09344433631896973	 98.69	 0.0001597229901701212	 100.0	181.89659595489502
170	 0.09434784889221191	 98.67	 0.00014791231354077658	 100.0	187.3787980079651
175	 0.0952686695098877	 98.68	 0.00013610468382636707	 100.0	193.0300190448761
180	 0.09598875246047973	 98.68	 0.00012388815426578125	 100.0	198.5176432132721
185	 0.09697464027404785	 98.69	 0.00011579915496210258	 100.0	204.19452047348022
190	 0.09810966548919678	 98.68	 0.00010714934070905049	 100.0	209.71574521064758
195	 0.09845719604492187	 98.68	 0.00010138065330684185	 100.0	215.22946190834045
200	 0.09914622478485108	 98.66	 9.480500022570292e-05	 100.0	220.73306393623352
205	 0.09996849241256714	 98.68	 8.873823558290799e-05	 100.0	226.24264311790466
210	 0.1006277416229248	 98.65	 8.454217091202736e-05	 100.0	231.74525666236877
215	 0.10092955360412598	 98.68	 7.996244113892317e-05	 100.0	237.25311303138733
220	 0.1017995964050293	 98.66	 7.613862414533894e-05	 100.0	242.78280305862427
225	 0.10219267654418945	 98.66	 7.11105284281075e-05	 100.0	248.29622220993042
230	 0.10255847930908203	 98.69	 6.845408470059435e-05	 100.0	253.86716055870056
235	 0.10317443618774413	 98.67	 6.452130153775215e-05	 100.0	259.40207028388977
240	 0.10388889303207398	 98.65	 6.17109565374752e-05	 100.0	265.41220927238464
245	 0.1042731964111328	 98.68	 5.9085562514762086e-05	 100.0	271.1106643676758
250	 0.1047784538269043	 98.66	 5.668168505653739e-05	 100.0	276.65608954429626
255	 0.10536268482208253	 98.65	 5.520602604374289e-05	 100.0	282.2202877998352
260	 0.10579802188873291	 98.65	 5.1944713449726505e-05	 100.0	287.7629885673523
265	 0.10594247264862061	 98.69	 5.0156714084247746e-05	 100.0	293.29900884628296
270	 0.10645802860260009	 98.67	 4.837814768155416e-05	 100.0	298.84446382522583
275	 0.10721562480926514	 98.67	 4.622340357551972e-05	 100.0	304.3899357318878
280	 0.1075443037033081	 98.68	 4.456073561062415e-05	 100.0	309.9758815765381
285	 0.10780808811187745	 98.67	 4.312708472522596e-05	 100.0	315.5318021774292
290	 0.1082723014831543	 98.68	 4.151894063688815e-05	 100.0	321.09734749794006
295	 0.10867027740478516	 98.68	 4.045482999645174e-05	 100.0	326.662015914917
300	 0.10902235908508301	 98.66	 3.869350828851263e-05	 100.0	332.22139263153076
process 0: Training time 332.222540140152 seconds (with 20 workers)
process 0: total time 1249.8000662326813 seconds (with 20 workers)

