epoch	 test_loss	 test_acc	 train_loss	 train_acc 	 time_since_begin(without testing)
5	 0.17274943466186524	 94.84	 0.19299276059468587	 94.13	33.351409912109375
10	 0.08849047222137452	 97.4	 0.10049950777689616	 96.93833333333333	66.36220908164978
15	 0.06888137302398682	 97.88	 0.07234100983937582	 97.74666666666667	98.90578055381775
20	 0.061104455280303956	 98.17	 0.06112216812769572	 98.1	131.95062828063965
25	 0.05648665647506714	 98.2	 0.05401724497477214	 98.36333333333333	165.05636882781982
30	 0.052875332880020144	 98.37	 0.0470917485555013	 98.54333333333334	197.90730667114258
35	 0.04218898792266846	 98.53	 0.03627231790224711	 98.87833333333333	230.6394121646881
40	 0.04136168246269226	 98.67	 0.031676528120040896	 99.02333333333333	263.61060190200806
45	 0.040426218986511234	 98.53	 0.030268185551961264	 99.05166666666666	296.71570229530334
50	 0.03919130563735962	 98.71	 0.02660399055480957	 99.16333333333333	329.80352091789246
55	 0.03774118521213531	 98.74	 0.023532505750656126	 99.29333333333334	363.0292024612427
60	 0.04042250328063965	 98.72	 0.02324970291455587	 99.28	396.2769913673401
65	 0.0376961820602417	 98.69	 0.020290612443288166	 99.37	429.51013684272766
70	 0.03748278517723083	 98.84	 0.01712183447678884	 99.48666666666666	462.1675670146942
75	 0.03855313243865967	 98.72	 0.017086924322446188	 99.495	495.1830544471741
80	 0.03877312774658203	 98.82	 0.015477849014600118	 99.50666666666666	528.0249316692352
85	 0.03606927227973938	 98.79	 0.013216232562065125	 99.62333333333333	561.1076591014862
90	 0.03473799090385437	 98.88	 0.011541858983039856	 99.65666666666667	594.3554391860962
95	 0.041980628776550295	 98.72	 0.014314911572138468	 99.55	627.3904013633728
100	 0.04335697331428528	 98.75	 0.01208973294099172	 99.65	659.8725681304932
105	 0.03837973759174347	 98.81	 0.009363187261422476	 99.74333333333334	693.2239334583282
110	 0.036913026285171506	 98.94	 0.0076224632501602175	 99.82666666666667	725.9014902114868
115	 0.039835182762145996	 98.84	 0.006886159121990204	 99.83833333333334	758.6872456073761
120	 0.03997790975570679	 98.93	 0.007215742063522339	 99.81166666666667	791.4811816215515
125	 0.03934223341941834	 98.93	 0.007143827001253764	 99.81666666666666	824.5734367370605
130	 0.04205850148200989	 98.82	 0.00502151650985082	 99.90666666666667	857.3957469463348
135	 0.042190806007385256	 98.83	 0.0069593230724334714	 99.795	890.6099355220795
140	 0.043602767992019655	 98.85	 0.004423015483220418	 99.92166666666667	923.5734293460846
145	 0.04353512086868286	 98.82	 0.004210444116592407	 99.92166666666667	956.6268501281738
150	 0.046126604747772214	 98.84	 0.0034262537618478138	 99.94333333333333	989.201188325882
155	 0.045136424112319946	 98.89	 0.0036841722865899405	 99.92333333333333	1022.2318959236145
160	 0.04397783555984497	 98.88	 0.002810415844122569	 99.95166666666667	1055.1118545532227
165	 0.04764403953552246	 98.93	 0.0027382825255393983	 99.95333333333333	1088.140780210495
170	 0.04716844348907471	 98.91	 0.0023177476425965625	 99.97166666666666	1120.9734919071198
175	 0.04832472810745239	 98.91	 0.0021899662524461744	 99.97	1153.7144989967346
180	 0.04918914365768433	 98.86	 0.001730804067850113	 99.98166666666667	1186.6614181995392
185	 0.050947618579864504	 98.88	 0.0017987467338641484	 99.985	1219.5144441127777
190	 0.049215270042419434	 98.9	 0.0014851441482702891	 99.985	1252.5763726234436
195	 0.04990276212692261	 98.95	 0.0016339572022358577	 99.98666666666666	1285.5967075824738
200	 0.05035503177642822	 98.91	 0.0012410020391146342	 99.98833333333333	1318.5560567378998
205	 0.050952266693115235	 98.88	 0.00143507086733977	 99.98833333333333	1351.2587082386017
210	 0.051171363830566405	 98.94	 0.0014354775538047155	 99.98833333333333	1383.9862263202667
215	 0.05259175510406494	 98.86	 0.001103194102148215	 99.99666666666667	1416.9510958194733
220	 0.052315634536743164	 98.89	 0.0009426780621210734	 99.99666666666667	1449.8151218891144
225	 0.05288155345916748	 98.93	 0.0008778406446178754	 99.99333333333334	1482.957736492157
230	 0.05505110387802124	 98.85	 0.0010467825641234717	 99.995	1516.384469985962
235	 0.05328133878707886	 98.89	 0.000811830339829127	 99.99666666666667	1549.1835734844208
240	 0.055043867015838625	 98.9	 0.000760847761730353	 99.99666666666667	1581.7641854286194
245	 0.05600165615081787	 98.9	 0.0008790208424131076	 99.99	1614.3789496421814
250	 0.05601643419265747	 98.94	 0.0006673908591270447	 99.995	1647.3658821582794
255	 0.05591380567550659	 98.94	 0.0006714681734641393	 99.99333333333334	1680.1148493289948
260	 0.05600703535079956	 98.89	 0.0006349948475758235	 99.995	1712.5450448989868
265	 0.056292531394958496	 98.88	 0.0006303746372461319	 99.99666666666667	1745.5244660377502
270	 0.056953858947753906	 98.92	 0.0005426258295774459	 99.99833333333333	1778.8036625385284
275	 0.05658735723495483	 98.93	 0.0007105215353270371	 99.98666666666666	1811.8531951904297
280	 0.057299377632141116	 98.9	 0.0005343566539386908	 99.99833333333333	1844.8369796276093
285	 0.05705354642868042	 98.94	 0.0006608748952547709	 99.98833333333333	1877.7225196361542
290	 0.058244723796844484	 98.91	 0.0005032922491431236	 99.99666666666667	1910.616781949997
295	 0.058298767566680905	 98.93	 0.0004411083663503329	 99.99833333333333	1943.774445772171
300	 0.05875643434524536	 98.93	 0.00040966015830636027	 100.0	1976.8236272335052
process 0: Training time 1976.8243980407715 seconds (with 5 workers)
process 0: total time 2804.032618045807 seconds (with 5 workers)

