epoch 	 norm_x_xexact 	 function_gap 	 time_since_begin(without testing)
0	0.7055656313896179	0.8508706092834473	0.00017571449279785156
1	0.5811823606491089	0.574104905128479	0.6097643375396729
2	0.4895864725112915	0.4246157705783844	1.2161281108856201
3	0.41336917877197266	0.3285897374153137	1.8245601654052734
4	0.34812840819358826	0.26349443197250366	2.4281861782073975
5	0.2909623980522156	0.21734806895256042	3.0310182571411133
6	0.24039986729621887	0.1817002147436142	3.6323509216308594
7	0.19730475544929504	0.15749868750572205	4.227973222732544
8	0.16077284514904022	0.13924568891525269	4.830418586730957
9	0.13129302859306335	0.12613582611083984	5.432626724243164
10	0.10972898453474045	0.11705654859542847	6.032396554946899
11	0.0950472354888916	0.1127079501748085	6.635737657546997
12	0.087316133081913	0.11072121560573578	7.236037254333496
13	0.08155205100774765	0.1070035845041275	7.838093280792236
14	0.07967530936002731	0.10808713734149933	8.439187049865723
15	0.07757984846830368	0.10601307451725006	9.040502548217773
16	0.07759235054254532	0.10660456120967865	9.638386487960815
17	0.07759716361761093	0.10678812116384506	10.23402190208435
18	0.07688117027282715	0.106808602809906	10.833102226257324
19	0.07661960273981094	0.10625741630792618	11.432157039642334
20	0.07646965235471725	0.10654947906732559	12.04813528060913
21	0.07617828249931335	0.105421282351017	12.652011394500732
22	0.0765930637717247	0.10675046592950821	13.256008386611938
23	0.07666280120611191	0.10627943277359009	13.855076551437378
24	0.07631824910640717	0.10645371675491333	14.453887939453125
25	0.07614358514547348	0.10602907836437225	15.048261404037476
26	0.07706566154956818	0.10710035264492035	15.647286176681519
27	0.0763881653547287	0.10571499168872833	16.254067420959473
28	0.07689989358186722	0.10705931484699249	16.854757070541382
29	0.07666584104299545	0.10698336362838745	17.45508599281311
30	0.07642534375190735	0.10645006597042084	18.056037664413452
31	0.07649488002061844	0.10671112686395645	18.654878616333008
32	0.07502447068691254	0.10434123128652573	19.25419020652771
33	0.07659299671649933	0.10603244602680206	19.854184865951538
34	0.07590274512767792	0.10564279556274414	20.45227813720703
35	0.07574817538261414	0.10454843938350677	21.047788619995117
36	0.07615181058645248	0.10618505626916885	21.64292621612549
37	0.07620744407176971	0.10566618293523788	22.241379022598267
38	0.0764983594417572	0.10639043152332306	22.847200393676758
39	0.07772108167409897	0.10759858787059784	23.452078580856323
40	0.07682090252637863	0.10637865215539932	24.05473566055298
41	0.07655621320009232	0.10671743005514145	24.657665491104126
42	0.07639466971158981	0.10662748664617538	25.2652907371521
43	0.0757550522685051	0.10499634593725204	25.86505889892578
44	0.07685637474060059	0.10759930312633514	26.466856718063354
45	0.07619484513998032	0.10578088462352753	27.0658540725708
46	0.07554136216640472	0.10509000718593597	27.667259693145752
47	0.07674384117126465	0.10745850950479507	28.262718677520752
48	0.07665812224149704	0.10678496211767197	28.863702058792114
49	0.0758364126086235	0.10575536638498306	29.463772535324097
50	0.07599851489067078	0.10651014745235443	30.061613082885742
51	0.07626388221979141	0.10605768114328384	30.663681268692017
52	0.07591872662305832	0.10529609024524689	31.258988857269287
53	0.07678567618131638	0.106890007853508	31.85899591445923
54	0.0760476216673851	0.10553774982690811	32.45326471328735
55	0.07690651714801788	0.10685817152261734	33.05645561218262
56	0.07634703069925308	0.1060323566198349	33.66426062583923
57	0.07622599601745605	0.10640694200992584	34.264896869659424
58	0.07668603956699371	0.10706914961338043	34.864192724227905
59	0.076310895383358	0.10652768611907959	35.46206307411194
60	0.07646872103214264	0.10702227056026459	36.064945697784424
61	0.07628393918275833	0.10642731189727783	36.66814708709717
62	0.07617582380771637	0.10578229278326035	37.268425703048706
63	0.07589678466320038	0.10563961416482925	37.86911225318909
64	0.07607866823673248	0.10505832731723785	38.46262216567993
65	0.0765325203537941	0.10696228593587875	39.0567946434021
66	0.07625687122344971	0.10628972202539444	39.651392221450806
67	0.07676026225090027	0.1067846417427063	40.252171754837036
68	0.07558690011501312	0.10507283359766006	40.85382652282715
69	0.07689325511455536	0.10708227008581161	41.45795249938965
70	0.07645554095506668	0.10632677376270294	42.0547297000885
71	0.07697140425443649	0.10739272832870483	42.650840282440186
72	0.07649785280227661	0.10651228576898575	43.24842309951782
73	0.07628650218248367	0.10609839111566544	43.84922814369202
74	0.07586299628019333	0.10579194128513336	44.45781970024109
75	0.07639612257480621	0.1064579039812088	45.056787967681885
76	0.07573758065700531	0.1052682176232338	45.66499590873718
77	0.0763871893286705	0.10619423538446426	46.26146483421326
78	0.07662273943424225	0.10753625631332397	46.85990762710571
79	0.07617715746164322	0.1052919253706932	47.461994886398315
80	0.07612788677215576	0.10612133890390396	48.056565046310425
81	0.07669156044721603	0.10673270374536514	48.65368175506592
82	0.07625146955251694	0.10588417947292328	49.25317883491516
83	0.07665017992258072	0.10674569755792618	49.85225248336792
84	0.07656873762607574	0.10640263557434082	50.45042109489441
85	0.07656320184469223	0.10689006745815277	51.04575181007385
86	0.07646139711141586	0.10764648020267487	51.64661407470703
87	0.0765318050980568	0.10685374587774277	52.267428159713745
88	0.07658284902572632	0.10618865489959717	53.06229114532471
89	0.07571505010128021	0.10483954101800919	53.66614079475403
90	0.07668619602918625	0.10672217607498169	54.26750040054321
91	0.0768352597951889	0.10702306032180786	54.86693477630615
92	0.07638556510210037	0.1064995676279068	55.46611499786377
93	0.07613848149776459	0.10681764781475067	56.05971097946167
94	0.07687201350927353	0.10764212906360626	56.656678438186646
95	0.0760222002863884	0.10604564845561981	57.25461292266846
96	0.07650008797645569	0.10604201257228851	57.853583574295044
97	0.07587822526693344	0.10632983595132828	58.450950622558594
