epoch 	 norm_x_xexact 	 function_gap 	 time_since_begin(without testing)
0	0.7055656313896179	0.8508706092834473	0.00017452239990234375
1	0.5017621517181396	0.46525803208351135	0.6128175258636475
2	0.39845630526542664	0.3294409215450287	1.222851276397705
3	0.3263370990753174	0.2511610686779022	1.8347148895263672
4	0.2700209617614746	0.19985361397266388	2.438629150390625
5	0.2249273806810379	0.16529956459999084	3.0476884841918945
6	0.1870773434638977	0.13851895928382874	3.65621018409729
7	0.15558753907680511	0.11883679777383804	4.262962102890015
8	0.12865209579467773	0.10322751849889755	4.872718572616577
9	0.10590501874685287	0.09050784260034561	5.480419397354126
10	0.08746027946472168	0.08164360374212265	6.0882227420806885
11	0.07251425832509995	0.07304117828607559	6.6990931034088135
12	0.06111655756831169	0.06685969978570938	7.30710506439209
13	0.05256810411810875	0.062087129801511765	7.914061069488525
14	0.04696038365364075	0.05953584983944893	8.521777391433716
15	0.042974770069122314	0.05636544153094292	9.135577201843262
16	0.04028620198369026	0.05380120873451233	9.741980075836182
17	0.03845203295350075	0.05223754793405533	10.350468158721924
18	0.037003759294748306	0.05073688551783562	10.960785388946533
19	0.03544853255152702	0.04911492019891739	11.568483591079712
20	0.03447588533163071	0.04769372195005417	12.179047107696533
21	0.03334817290306091	0.046227388083934784	12.783640146255493
22	0.032507069408893585	0.045057427138090134	13.393134117126465
23	0.03203759714961052	0.04455649107694626	13.99913501739502
24	0.031156733632087708	0.04377235844731331	14.60640025138855
25	0.028786661103367805	0.04006785526871681	15.214340686798096
26	0.026249265298247337	0.036478567868471146	15.823248147964478
27	0.024268856272101402	0.03383393585681915	16.431843519210815
28	0.02222909778356552	0.030810285359621048	17.03711199760437
29	0.02079518884420395	0.02893277071416378	17.646897554397583
30	0.0193928312510252	0.026959482580423355	18.253818035125732
31	0.01800299808382988	0.02508370578289032	18.86553120613098
32	0.01695859432220459	0.023421067744493484	19.47081446647644
33	0.016157075762748718	0.022443823516368866	20.077385187149048
34	0.015437115915119648	0.021628182381391525	20.684863805770874
35	0.014652855694293976	0.02019413188099861	21.292938709259033
36	0.013855529949069023	0.019322594627738	21.901097297668457
37	0.013302723877131939	0.018433231860399246	22.511661529541016
38	0.012805318459868431	0.017740393057465553	23.120842218399048
39	0.01224245224148035	0.017027754336595535	23.729074478149414
40	0.011723792180418968	0.016373269259929657	24.334203481674194
41	0.011400164104998112	0.01587785966694355	24.938841819763184
42	0.01096933800727129	0.015338304452598095	25.54981255531311
43	0.010615511797368526	0.014802077785134315	26.15671944618225
44	0.010245976969599724	0.01427632849663496	26.76381540298462
45	0.010022923350334167	0.014048579148948193	27.370822191238403
46	0.009661544114351273	0.01350643765181303	27.979111909866333
47	0.009473685175180435	0.013215499930083752	28.58846688270569
48	0.009249151684343815	0.012974420562386513	29.19290852546692
49	0.008978821337223053	0.012528198771178722	29.800435781478882
50	0.008705702610313892	0.012166867963969707	30.407285690307617
51	0.008494049310684204	0.011837621219456196	31.013922691345215
52	0.008290919475257397	0.011532386764883995	31.61872172355652
53	0.008098757825791836	0.011347273364663124	32.234511375427246
54	0.007903813384473324	0.0110220517963171	32.83861756324768
55	0.007731346879154444	0.010729566216468811	33.44433784484863
56	0.007577400654554367	0.010611297562718391	34.050283908843994
57	0.007412883918732405	0.010390077717602253	34.652989625930786
58	0.0072511425241827965	0.010125740431249142	35.26055121421814
59	0.007070229854434729	0.009818242862820625	35.86850547790527
60	0.006990471854805946	0.009728183969855309	36.47725462913513
61	0.006824464537203312	0.009509770199656487	37.08212327957153
62	0.0066944509744644165	0.009274736046791077	37.68505597114563
63	0.006617664359509945	0.009198588319122791	38.2932026386261
64	0.006470056716352701	0.008958807215094566	38.90246343612671
65	0.006404093001037836	0.008921162225306034	39.50989127159119
66	0.006302138324826956	0.008797211572527885	40.11783981323242
67	0.006219118367880583	0.008689756505191326	40.723124980926514
68	0.006075541954487562	0.008501909673213959	41.3287889957428
69	0.0060151745565235615	0.0083690220490098	41.94008421897888
70	0.0059283715672791	0.008309953846037388	42.54663705825806
71	0.005847516469657421	0.008164715953171253	43.15337777137756
72	0.00576481968164444	0.008053933270275593	43.75924348831177
73	0.005651829764246941	0.007899505086243153	44.36482524871826
74	0.00554670998826623	0.007791885640472174	44.97481822967529
75	0.005485925357788801	0.007657360285520554	45.584476470947266
76	0.005443074740469456	0.00757064763456583	46.19075894355774
77	0.0053539942018687725	0.00751022482290864	46.7961528301239
78	0.0052803861908614635	0.0074045718647539616	47.40506410598755
79	0.005209255963563919	0.007245250046253204	48.01175498962402
80	0.005109018180519342	0.0071549019776284695	48.61943697929382
81	0.005035351030528545	0.007068830542266369	49.22690296173096
82	0.004967472516000271	0.006884324364364147	49.8329758644104
83	0.004957121796905994	0.006976412143558264	50.44308352470398
84	0.004886272829025984	0.006799503229558468	51.04834008216858
85	0.004843343980610371	0.006744129117578268	51.65340971946716
86	0.004799470771104097	0.0067146397195756435	52.26364588737488
87	0.004764322657138109	0.006649239454418421	52.88398790359497
88	0.004694267641752958	0.006545501295477152	53.489917278289795
89	0.004610452800989151	0.006430881563574076	54.09451198577881
90	0.004570267163217068	0.00633657444268465	54.70198321342468
91	0.004507995210587978	0.006323347799479961	55.309581995010376
92	0.004504469223320484	0.006328654941171408	55.91491389274597
93	0.004409292247146368	0.00614857068285346	56.521119356155396
94	0.00440957210958004	0.00617676367983222	57.12560415267944
95	0.004357268568128347	0.006104879081249237	57.73624634742737
96	0.004283176269382238	0.005964275449514389	58.34130144119263
97	0.004242266062647104	0.005930215120315552	58.948084115982056
