epoch 	 norm_x_xexact 	 function_gap 	 time_since_begin(without testing)
0	0.7055656313896179	0.8508706092834473	0.0001728534698486328
1	0.6765636205673218	0.7753910422325134	0.6276423931121826
2	0.6575137972831726	0.7288147211074829	1.2384521961212158
3	0.6427180767059326	0.6943665742874146	1.8529586791992188
4	0.630384624004364	0.6666368246078491	2.4650943279266357
5	0.6197039484977722	0.6432768702507019	3.084519624710083
6	0.6102207899093628	0.6230628490447998	3.697216749191284
7	0.6016417741775513	0.6052260398864746	4.305907726287842
8	0.5937880873680115	0.5892874002456665	4.91235613822937
9	0.5865239500999451	0.5747963190078735	5.520341396331787
10	0.5797509551048279	0.5614974498748779	6.130120038986206
11	0.5734009146690369	0.5492182374000549	6.737935543060303
12	0.5674110054969788	0.537867546081543	7.347768068313599
13	0.5617373585700989	0.527214527130127	7.959696531295776
14	0.5563477277755737	0.517302393913269	8.572003364562988
15	0.5512041449546814	0.5079365968704224	9.178061485290527
16	0.546284556388855	0.4990540146827698	9.789716243743896
17	0.5415675044059753	0.4906209111213684	10.39949345588684
18	0.5370302200317383	0.4826086461544037	11.011853456497192
19	0.5326559543609619	0.4749755263328552	11.621551513671875
20	0.5284307599067688	0.4676797389984131	12.233595371246338
21	0.5243481993675232	0.46070265769958496	12.84603500366211
22	0.5203936100006104	0.4540356993675232	13.459661483764648
23	0.5165609121322632	0.44765251874923706	14.068901538848877
24	0.5128370523452759	0.4415038228034973	14.678290367126465
25	0.5092177987098694	0.43557462096214294	15.29248571395874
26	0.5056952834129333	0.4298554062843323	15.90159559249878
27	0.5022595524787903	0.42433056235313416	16.511085033416748
28	0.49891197681427	0.4189879894256592	17.1227285861969
29	0.49564167857170105	0.41383838653564453	17.73329496383667
30	0.4924502372741699	0.4088543951511383	18.345608234405518
31	0.48932841420173645	0.40400758385658264	18.95188021659851
32	0.486273854970932	0.3992980122566223	19.560060739517212
33	0.4832811653614044	0.3947461247444153	20.172580242156982
34	0.48035115003585815	0.39032095670700073	20.78411889076233
35	0.4774776101112366	0.38599130511283875	21.394460678100586
36	0.4746595025062561	0.3817847669124603	22.00272846221924
37	0.47189298272132874	0.3776687681674957	22.615183353424072
38	0.4691787660121918	0.3736823797225952	23.221739530563354
39	0.4665132462978363	0.3697729706764221	23.827134370803833
40	0.4638945758342743	0.36595863103866577	26.04997706413269
41	0.4613228738307953	0.3622673451900482	26.66306233406067
42	0.4587933421134949	0.35862502455711365	27.274672746658325
43	0.4563046097755432	0.35508450865745544	27.882692098617554
44	0.45385491847991943	0.3516274392604828	28.4903085231781
45	0.45144328474998474	0.3482317328453064	29.100345134735107
46	0.4490683376789093	0.3448822796344757	29.712848901748657
47	0.44672927260398865	0.3416368067264557	30.32043480873108
48	0.4444241225719452	0.3384478688240051	30.931704998016357
49	0.4421505928039551	0.3353501260280609	31.54210352897644
50	0.439908891916275	0.33229219913482666	32.153613328933716
51	0.43769922852516174	0.32931333780288696	32.76174020767212
52	0.43551889061927795	0.3264038562774658	33.368032932281494
53	0.43336740136146545	0.3235139846801758	33.97645854949951
54	0.43124356865882874	0.32069697976112366	34.589377880096436
55	0.42914754152297974	0.3179562985897064	35.19910430908203
56	0.42707666754722595	0.3152090013027191	35.80757021903992
57	0.42503246665000916	0.3125227987766266	36.418466091156006
58	0.42301225662231445	0.3099026679992676	37.0238082408905
59	0.42101651430130005	0.30730780959129333	37.63494539260864
60	0.41904425621032715	0.3047932982444763	38.24742817878723
61	0.4170956611633301	0.30229076743125916	38.85510969161987
62	0.41516783833503723	0.29985910654067993	39.46801710128784
63	0.41326263546943665	0.29744794964790344	40.080058336257935
64	0.4113772213459015	0.2950819134712219	40.69118642807007
65	0.40951305627822876	0.2927432656288147	41.304383516311646
66	0.40766870975494385	0.2904442846775055	41.91686725616455
67	0.40584319829940796	0.2881811261177063	42.52567386627197
68	0.40403643250465393	0.28595033288002014	43.133968114852905
69	0.4022487699985504	0.28374195098876953	43.73827528953552
70	0.4004789888858795	0.28155574202537537	44.347808837890625
71	0.3987272083759308	0.2794434130191803	44.95266032218933
72	0.3969916105270386	0.27733275294303894	45.56452655792236
73	0.3952730894088745	0.27526363730430603	46.173646688461304
74	0.39357101917266846	0.27324116230010986	46.787964820861816
75	0.3918846845626831	0.27122560143470764	47.40453362464905
76	0.39021405577659607	0.2692466378211975	48.01700305938721
77	0.38855859637260437	0.26728445291519165	48.62724733352661
78	0.38691800832748413	0.2653678059577942	49.23357152938843
79	0.38529178500175476	0.2634642720222473	49.842925786972046
80	0.38367965817451477	0.2615852355957031	50.45454716682434
81	0.38208213448524475	0.2597474455833435	51.06478953361511
82	0.3804984390735626	0.25793153047561646	51.677682399749756
83	0.37892723083496094	0.2561268210411072	52.28791069984436
84	0.37736961245536804	0.2543361485004425	52.89629340171814
85	0.3758254051208496	0.2525959312915802	53.51885437965393
86	0.3742932677268982	0.25084200501441956	54.12877821922302
87	0.37277334928512573	0.24914021790027618	54.74491357803345
88	0.3712659478187561	0.24742193520069122	55.35731339454651
89	0.36977073550224304	0.24575629830360413	55.96406674385071
90	0.36828649044036865	0.24408285319805145	56.57761192321777
91	0.36681464314460754	0.24245886504650116	57.18901014328003
92	0.3653538227081299	0.24083968997001648	57.80110192298889
93	0.36390420794487	0.23922009766101837	58.40811848640442
94	0.36246639490127563	0.23763975501060486	59.017152547836304
95	0.36103978753089905	0.23608966171741486	59.62498450279236
96	0.35962390899658203	0.23451931774616241	60.237974643707275
97	0.3582187592983246	0.2329954206943512	60.84815216064453
